,Genre,Description
212,Jewellery Making,Jewellery making (or jewelry making) is the process of creating jewellery.
213,Jewish,"Books about the Jewish people or Jewish religion. Common themes include Biblical stories, the Jewish diaspora, and the Holocaust."
214,Journalism, reporting on news and current events
215,Judaism,"Judaism is an ancient monotheistic religion, with the Torah as its foundational text (part of the larger text known as the Tanakh or Hebrew Bible), and supplemental oral tradition represented by later texts such as the Midrash and the Talmud."
216,Juvenile,Also see Young AdultAlso see Young Adult...more
217,Kenya,Books in this genre are set in or about Kenya.
218,LGBT,"LGBT is an initialism that stands for lesbian, gay, bisexual, and transgender. In use since the 1990s, the term is an adaptation of the initialism LGB, which was used to replace the term gay in reference to the LGBT community beginning in the mid-to-late 1980s.The initialism LGBT is intended to emphasize a diversity of sexuality and gender identity-based cultures. It may be used to refer to anyone who is non-heterosexual or non-cisgender, instead of exclusively to people who are lesbian, gay, bisexual, or transgender. To recognize this inclusion, a popular variant adds the letter Q for those wLGBT is an initialism that stands for lesbian, gay, bisexual, and transgender. In use since the 1990s, the term is an adaptation of the initialism LGB, which was used to replace the term gay in reference to the LGBT community beginning in the mid-to-late 1980s.The initialism LGBT is intended to emphasize a diversity of sexuality and gender identity-based cultures. It may be used to refer to anyone who is non-heterosexual or non-cisgender, instead of exclusively to people who are lesbian, gay, bisexual, or transgender. To recognize this inclusion, a popular variant adds the letter Q for those who identify as queer or are questioning their sexual identity; LGBTQ has been recorded since 1996.Those who add intersex people to LGBT groups or organizing use an extended initialism LGBTI. Some people combine the two acronyms and use the term LGBTIQ. Others use LGBT+ to encompass a spectrum of gender and sexuality. There is also a rise in the use of the acronym QUILTBAG. The A stands for ""Asexual,"" and the G covers both the more usual ""Gay"" as well as ""Gender-Questioning""/""Gender-Queer""....more"
219,Language,NULL
220,Latin American,See Latin American LiteratureSee Latin American Literature...more
221,Latin American History,The term Latin America primarily refers to the Spanish and Portuguese-speaking countries in the Americas.
222,Latin American Literature,"Latin American literature consists of the oral and written literature of Latin America (and the Caribbean) in several languages, particularly in Spanish, Portuguese, and indigenous languages of the Americas. It rose to particular prominence globally during the second half of the 20th century, largely due to the international success of the style known as magical realism. As such, the region's literature is often associated solely with this style (and its most famous exponent, Gabriel García Márquez). This largely obscures a rich and complex tradition of literary production that dates back manyLatin American literature consists of the oral and written literature of Latin America (and the Caribbean) in several languages, particularly in Spanish, Portuguese, and indigenous languages of the Americas. It rose to particular prominence globally during the second half of the 20th century, largely due to the international success of the style known as magical realism. As such, the region's literature is often associated solely with this style (and its most famous exponent, Gabriel García Márquez). This largely obscures a rich and complex tradition of literary production that dates back many centuries....more"
223,Law,"Law is the set of enforced rules under which a society is governed. Law is one of the most basic social institutions-and one of the most necessary. No society could exist if all people did just as they pleased without regard for the rights of others. Nor could a society exist if its members did not recognize that they also have certain obligations toward one another. The law thus establishes the rules that define a person's rights and obligations. The law also sets penalties for people who violate these rules, and it states how government shall enforce the rules and penalties. However, the lawLaw is the set of enforced rules under which a society is governed. Law is one of the most basic social institutions-and one of the most necessary. No society could exist if all people did just as they pleased without regard for the rights of others. Nor could a society exist if its members did not recognize that they also have certain obligations toward one another. The law thus establishes the rules that define a person's rights and obligations. The law also sets penalties for people who violate these rules, and it states how government shall enforce the rules and penalties. However, the laws enforced by government can be changed. In fact, laws frequently are changed to reflect changes in a society's needs and attitudes. In most societies, various government bodies, especially police agencies and courts, see that the laws are obeyed. Because a person can be penalized for disobeying the law, most people agree that laws should be just. Justice is a moral standard that applies to all human conduct. The laws enforced by government have usually had a strong moral element, and so justice has generally been one of law's guiding principles. But governments can, and sometimes do, enforce laws that people believe to be unjust. If this belief becomes widespread, people may lose respect for the law and may even disobey it. In democratic societies, the law itself provides ways to amend or abolish unjust laws....more"
224,Lds,"LDS is the common name for The Church of Jesus Christ of Latter-day Saints, also known as the Mormon church."
225,Leadership,"Books discussing the aspects, techniques, and study of leadership."
226,Legal Thriller,"The legal thriller is a sub-genre of thriller and crime fiction in which the major characters are lawyers and their employees. The system of justice itself is always a major part of these works, at times almost functioning as one of the characters. In this way, the legal system provides the framework for the legal thriller much as the system of modern police work does for the police procedural."
227,Linguistics,Linguistics is the science of language.
228,Literary Criticism,"Literary criticism is the study, evaluation, and interpretation of literature. Modern literary criticism is often informed by literary theory, which is the philosophical discussion of its methods and goals. Though the two activities are closely related, literary critics are not always, and have not always been, theorists.Whether or not literary criticism should be considered a separate field of inquiry from literary theory, or conversely from book reviewing, is a matter of some controversy. For example, the Johns Hopkins Guide to Literary thinking and Criticism draws no distinction between litLiterary criticism is the study, evaluation, and interpretation of literature. Modern literary criticism is often informed by literary theory, which is the philosophical discussion of its methods and goals. Though the two activities are closely related, literary critics are not always, and have not always been, theorists.Whether or not literary criticism should be considered a separate field of inquiry from literary theory, or conversely from book reviewing, is a matter of some controversy. For example, the Johns Hopkins Guide to Literary thinking and Criticism draws no distinction between literary theory and literary criticism, and almost always uses the terms together to describe the same concept. Some critics consider literary criticism a practical application of literary theory, because criticism always deals directly with particular literary works, while theory may be more general or abstract.Literary criticism is often published in essay or book form. Academic literary critics teach in literature departments and publish in academic journals, and more popular critics publish their criticism in broadly circulating periodicals such as the Times Literary Supplement, the New York Times Book Review, the New York Review of Books, the London Review of Books, The Nation, and The New Yorker....more"
229,Literary Fiction,"Literary fiction is a term that has come into common usage in the early 1960s. The term is principally used to distinguish ""serious fiction"" which is a work that claims to hold literary merit, in comparison from genre fiction and popular fiction. The name literature is sometimes used for this genre, although it can also refer to a broader category of writing.Literary fiction is a term that has come into common usage in the early 1960s. The term is principally used to distinguish ""serious fiction"" which is a work that claims to hold literary merit, in comparison from genre fiction and popular fiction. The name literature is sometimes used for this genre, although it can also refer to a broader category of writing....more"
230,Literature,"Literature is the art of written works. The two most basic written literary categories include fiction and non-fiction, although ""literature"" in popular use can also mean a sub-genre of fiction called literary fiction.Literature is the art of written works. The two most basic written literary categories include fiction and non-fiction, although ""literature"" in popular use can also mean a sub-genre of fiction called literary fiction....more"
231,Love,NULL
232,M M Romance,M/M Romance is fiction with an intimate relationship between two (or more) men at its center as the main focus of the plot.
233,Magic,"These are all books that deal with magic: wands, spells, curses, potions, hexes, thoughts (mind-magic), art, symbols, rituals, magical languages, witchcraft, etc.See also magick for non-fiction.These are all books that deal with magic: wands, spells, curses, potions, hexes, thoughts (mind-magic), art, symbols, rituals, magical languages, witchcraft, etc.See also magick for non-fiction....more"
234,Magical Realism,"Magical realism is a fiction genre in which magical elements blend to create a realistic atmosphere that accesses a deeper understanding of reality. The story explains these magical elements as normal occurrences, presented in a straightforward manner that places the ""real"" and the ""fantastic"" in the same stream of thought. Magical realism is a fiction genre in which magical elements blend to create a realistic atmosphere that accesses a deeper understanding of reality. The story explains these magical elements as normal occurrences, presented in a straightforward manner that places the ""real"" and the ""fantastic"" in the same stream of thought. ...more"
235,Magick,"Magick may mean an allegedly supernatural charm, spell or other method to dominate natural forces or a ritual associated with supernatural magic or with mysticism. This spelling is sometimes used to distinguish ""real"" from ""stage"" magic.See also:* magic* esotericaMagick may mean an allegedly supernatural charm, spell or other method to dominate natural forces or a ritual associated with supernatural magic or with mysticism. This spelling is sometimes used to distinguish ""real"" from ""stage"" magic.See also:* magic* esoterica...more"
236,Management,"Management (or managing) is the administration of an organization, whether it be a business, a not-for-profit organization, or government body. Management includes the activities of setting the strategy of an organization and coordinating the efforts of its employees or volunteers to accomplish its objectives through the application of available resources, such as financial, natural, technological, and human resources. The term ""management"" may also refer to the people who manage an organization.Management is also an academic discipline, a social science whose objective is to study social orgaManagement (or managing) is the administration of an organization, whether it be a business, a not-for-profit organization, or government body. Management includes the activities of setting the strategy of an organization and coordinating the efforts of its employees or volunteers to accomplish its objectives through the application of available resources, such as financial, natural, technological, and human resources. The term ""management"" may also refer to the people who manage an organization.Management is also an academic discipline, a social science whose objective is to study social organization and organizational leadership. Management is studied at colleges and universities; some important degrees in management are the Bachelor of Commerce (B.Com.) and Master of Business Administration (M.B.A.) and, for the public sector, the Master of Public Administration (MPA) degree. Individuals who aim at becoming management researchers or professors may complete the Doctor of Management (DM), the Doctor of Business Administration (DBA), or the PhD in Business Administration or Management....more"
237,Manga,"Japanese or Japanese-influenced comics and graphic novels. Usually printed in black-and-white. There are many genres inside manga, the most distinct being shojo (for girls) and shonen (for boys).See also the compound shelves:* graphic novels, comics, and manga* graphic novels and manga* comics and mangaJapanese or Japanese-influenced comics and graphic novels. Usually printed in black-and-white. There are many genres inside manga, the most distinct being shojo (for girls) and shonen (for boys).See also the compound shelves:* graphic novels, comics, and manga* graphic novels and manga* comics and manga...more"
238,Maritime,"Maritime fiction has several names - Nautical Fiction, Naval Fiction, Sea Fiction, Sea Stories or Naval Adventure Fiction. It is a genre of literature with a setting at or near the sea, focusing on human relationships to the sea and sea voyages. Nautical culture is highlighted. The settings vary widely, including merchant ships, liners, naval ships, sea ports, etc. Maritime fiction may focus on oceanic wildlife such as Herman Melville's Moby Dick (1851), or fantasy creatures and legends such as the Mermaid or Kraken.Common themes include the sub-genres Shipwreck and Pirates.Though the treatmenMaritime fiction has several names - Nautical Fiction, Naval Fiction, Sea Fiction, Sea Stories or Naval Adventure Fiction. It is a genre of literature with a setting at or near the sea, focusing on human relationships to the sea and sea voyages. Nautical culture is highlighted. The settings vary widely, including merchant ships, liners, naval ships, sea ports, etc. Maritime fiction may focus on oceanic wildlife such as Herman Melville's Moby Dick (1851), or fantasy creatures and legends such as the Mermaid or Kraken.Common themes include the sub-genres Shipwreck and Pirates.Though the treatment of themes and settings related to the sea and maritime culture is common throughout the history of western literature, nautical fiction as a distinct genre was first pioneered by James Fenimore Cooper (The Pilot, 1824) and Frederick Marryat (Frank Mildmay, 1829 and Mr Midshipman Easy, 1836) at the beginning of the 19th century. ...more"
239,Marriage,"Books discussing the aspects of marriage. Can be self-help, self-improvement, philosophical, debating in nature, biographies, etc."
240,Material Culture,"Material culture is the physical evidence of a culture in the objects and architecture they make, or have made. The term tends to be relevant only in archeological and anthropological studies, but it specifically means all material evidence which can be attributed to culture, past or present. Material culture studies is an interdisciplinary field telling of relationships between people and their things: the making, history, preservation, and interpretation of objects. It draws on theory and practice from the social sciences and humanities such as art history, archaeology, anthropology, historyMaterial culture is the physical evidence of a culture in the objects and architecture they make, or have made. The term tends to be relevant only in archeological and anthropological studies, but it specifically means all material evidence which can be attributed to culture, past or present. Material culture studies is an interdisciplinary field telling of relationships between people and their things: the making, history, preservation, and interpretation of objects. It draws on theory and practice from the social sciences and humanities such as art history, archaeology, anthropology, history, historic preservation, folklore, literary criticism and museum studies, among others. Anything from buildings and architectural elements to books, jewelry, or toothbrushes can be considered material culture....more"
241,Mathematics,"Mathematics (from Greek μάθημα máthēma, “knowledge, study, learning”) is the study of topics such as quantity (numbers), structure, space, and change. Mathematicians seek out patterns and use them to formulate new conjectures. Mathematicians resolve the truth or falsity of conjectures by mathematical proof. When mathematical structures are good models of real phenomena, then mathematical reasoning can provide insight or predictions about nature. Through the use of abstraction and logic, mathematics developed from counting, calculation, measurement, and the systematic study of the shapes and moMathematics (from Greek μάθημα máthēma, “knowledge, study, learning”) is the study of topics such as quantity (numbers), structure, space, and change. Mathematicians seek out patterns and use them to formulate new conjectures. Mathematicians resolve the truth or falsity of conjectures by mathematical proof. When mathematical structures are good models of real phenomena, then mathematical reasoning can provide insight or predictions about nature. Through the use of abstraction and logic, mathematics developed from counting, calculation, measurement, and the systematic study of the shapes and motions of physical objects. Practical mathematics has been a human activity from as far back as written records exist. The research required to solve mathematical problems can take years or even centuries of sustained inquiry....more"
242,Media Tie In,Books which are related to stories in other media such as television or movies.
243,Medical,See also medicine.See also medicine....more
244,Medicine,See also medical.See also medical....more
245,Medieval,"The Medieval period is subdivided into the Early (c. 476-1000), the High (c. 1001-1300), and the Late (c. 1301–1500) Middle Ages.The Medieval period usually refers to Europe, but books set in Asia or North Africa within this time-frame may also be included as these areas were part of the interconnected Medieval world.Medieval Europe offers the historical backdrop of the grandeur of medieval royalty contrasted with the stark struggle for survival of the common folk. Medieval historical fiction features, among others, conflicts between Christianity and the remnants of paganism, the open warfare The Medieval period is subdivided into the Early (c. 476-1000), the High (c. 1001-1300), and the Late (c. 1301–1500) Middle Ages.The Medieval period usually refers to Europe, but books set in Asia or North Africa within this time-frame may also be included as these areas were part of the interconnected Medieval world.Medieval Europe offers the historical backdrop of the grandeur of medieval royalty contrasted with the stark struggle for survival of the common folk. Medieval historical fiction features, among others, conflicts between Christianity and the remnants of paganism, the open warfare of the Crusades, the medieval Celts, Anglo-Saxon and Norman England, the Wars of the Roses, the Vikings and the Byzantine Empire.Medieval-style worlds are a common setting within the Fantasy genre....more"
246,Medieval History,"In the history of Europe, the Middle Ages (or Medieval Period) lasted from the 5th to the 15th century. It began with the fall of the Western Roman Empire and merged into the Renaissance and the Age of Discovery. The Middle Ages is the middle period of the three traditional divisions of Western history: classical antiquity, the medieval period, and the modern period. The medieval period is itself subdivided into the Early, High, and Late Middle Ages.Medieval history is the history of this period in Western European history."
247,Meditation,NULL
248,Memoir,"As a literary genre, a memoir (from the French: mémoire from the Latin memoria, meaning ""memory"", or a reminiscence), forms a subclass of autobiography – although the terms 'memoir' and 'autobiography' are almost interchangeable in modern parlance. Memoir is autobiographical writing, but not all autobiographical writing follows the criteria for memoir.Memoirs are structured differently from formal autobiographies which tend to encompass the writer's entire life span, focusing on the development of his/her personality. The chronological scope of memoir is determined by the work's context and isAs a literary genre, a memoir (from the French: mémoire from the Latin memoria, meaning ""memory"", or a reminiscence), forms a subclass of autobiography – although the terms 'memoir' and 'autobiography' are almost interchangeable in modern parlance. Memoir is autobiographical writing, but not all autobiographical writing follows the criteria for memoir.Memoirs are structured differently from formal autobiographies which tend to encompass the writer's entire life span, focusing on the development of his/her personality. The chronological scope of memoir is determined by the work's context and is therefore more focused and flexible than the traditional arc of birth to childhood to old age as found in an autobiography.Memoirs tended to be written by politicians or people in court society, later joined by military leaders and businessmen, and often dealt exclusively with the writer's careers rather than their private life. Historically, memoirs have dealt with public matters, rather than personal. Many older memoirs contain little or no information about the writer, and are almost entirely concerned with other people. Modern expectations have changed this, even for heads of government. Like most autobiographies, memoirs are generally written from the first person point of view.Gore Vidal, in his own memoir Palimpsest, gave a personal definition: ""a memoir is how one remembers one's own life, while an autobiography is history, requiring research, dates, facts double-checked."" It is more about what can be gleaned from a section of one's life than about the outcome of the life as a whole.Humorist Will Rogers put it a little more pithily: ""Memoirs means when you put down the good things you ought to have done and leave out the bad ones you did do.""...more"
249,Mental Health,NULL
250,Mermaids,"A legendary sea creature having the head and upper body of a woman and the tail of a fish. Mermaids appear in the folklore of many cultures worldwide, including the Near East, Europe, Africa and Asia. The first stories appeared in ancient Assyria, in which the goddess Atargatis transformed herself into a mermaid out of shame for accidentally killing her human lover."
251,Middle Grade,"Middle Grade is a genre of novels written specifically for children roughly between the ages of 8 and 12 years old. These books are designed to match the emotional, intellectual, and social experiences of kids in upper elementary to early middle school."
252,Military Fiction,"Military fiction mainly deals with military operations, adventures, memoirs etc. by country's military wing - army, air force or navy. It has few sub-genres like military thriller, military historical fiction, military science fiction etc. Military fiction may have an angle of civilian intelligence agencies but the majority of plot revolves around military operations or situations. Earlier a sub-genre of the espionage fiction/thriller genre, military fiction is becoming an independent genre of its own. Some famous authors include Tom Clancy, Harry Patterson (pseudonym Jack Higgins), Alistair MMilitary fiction mainly deals with military operations, adventures, memoirs etc. by country's military wing - army, air force or navy. It has few sub-genres like military thriller, military historical fiction, military science fiction etc. Military fiction may have an angle of civilian intelligence agencies but the majority of plot revolves around military operations or situations. Earlier a sub-genre of the espionage fiction/thriller genre, military fiction is becoming an independent genre of its own. Some famous authors include Tom Clancy, Harry Patterson (pseudonym Jack Higgins), Alistair MacLean, Stephen Coonts, Dale Brown, W.E.B. Griffin, Harold Coyle etc....more"
253,Military History,"See also history.Military history is a humanities discipline within the scope of general historical recording of armed conflict in the history of humanity, and its impact on the societies, their cultures, economies and changing intra and international relationships.See also history.Military history is a humanities discipline within the scope of general historical recording of armed conflict in the history of humanity, and its impact on the societies, their cultures, economies and changing intra and international relationships....more"
254,Money,"Money is any item or verifiable record that is generally accepted as payment for goods and services and repayment of debts in a particular country or socio-economic context, or is easily converted to such a form. The main functions of money are distinguished as: a medium of exchange; a unit of account; a store of value; and, sometimes, a standard of deferred payment. Any item or verifiable record that fulfils these functions can be considered as money."
255,Motorcycle,"A motorcycle (also called a motorbike, bike, or cycle) is a two- or three-wheeled motor vehicle. Motorcycle design varies greatly to suit a range of different purposes: long distance travel, commuting, cruising, sport including racing, and off-road riding. Motorcycling is riding a motorcycle and related social activity such as joining a motorcycle club and attending motorcycle rallies."
256,Motorcycling,NULL
257,Mountaineering,"The term mountaineering describes the sport of mountain climbing, including ski mountaineering. Hiking in the mountains can also be a simple form of mountaineering when it involves scrambling, or short stretches of the more basic grades of rock climbing, as well as crossing glaciers.Also known as Mountain Climbing and Alpinism"
258,Murder Mystery,See MysterySee Mystery...more
259,Music,"Books about music history, music genres and musicians."
260,Musicals,NULL
261,Mystery,"The mystery genre is a genre of fiction that follows a crime (like a murder or a disappearance) from the moment it is committed to the moment it is solved. Mystery novels are often called “whodunnits” because they turn the reader into a detective trying to figure out the who, what, when, and how of a particular crime. Most mysteries feature a detective or private eye solving a case as the central character."
262,Mystery Thriller,"Mystery-thrillers are stories with twists and turns that keep you on your toes guessing about the truth, the POV's truth, and about what will happen next. They can be written from a hero's POV or from a sinister character's POV. Some are scary and make your heart beat faster, making it hard to put down. Some stories make you laugh if you have a witty writer with an unusual sense of humor easy to relate to. Both types can be hard to put down when they're page turners. And you can find many page turners among a variety of styles and writers, depending on what seeks your fancy. See also mystery.Mystery-thrillers are stories with twists and turns that keep you on your toes guessing about the truth, the POV's truth, and about what will happen next. They can be written from a hero's POV or from a sinister character's POV. Some are scary and make your heart beat faster, making it hard to put down. Some stories make you laugh if you have a witty writer with an unusual sense of humor easy to relate to. Both types can be hard to put down when they're page turners. And you can find many page turners among a variety of styles and writers, depending on what seeks your fancy. See also mystery....more"
263,Mythology,"The term mythology can refer to a body of myths or to any traditional story. A myth is a sacred narrative explaining how the world and humankind came to be in their present form. The main characters in myths are usually gods or supernatural heroes.The study of myth began in ancient history. Rival classes of the Greek myths by Euhemerus, Plato and Sallustius were developed by the Neoplatonists and later revived by Renaissance mythographers. The nineteenth-century comparative mythology reinterpreted myth as a primitive and failed counterpart of science (Tylor), a ""disease of language"" (Müller), The term mythology can refer to a body of myths or to any traditional story. A myth is a sacred narrative explaining how the world and humankind came to be in their present form. The main characters in myths are usually gods or supernatural heroes.The study of myth began in ancient history. Rival classes of the Greek myths by Euhemerus, Plato and Sallustius were developed by the Neoplatonists and later revived by Renaissance mythographers. The nineteenth-century comparative mythology reinterpreted myth as a primitive and failed counterpart of science (Tylor), a ""disease of language"" (Müller), or a misinterpretation of magical ritual (Frazer)....more"
264,Native American,"The term Native American in its widest sense refers to all of the indigenous people of the Americas. More narrowly, this term is used in the USA to name indigenous people living within the boundaries of the nation. ""Native American"" in the USA often equates to the older term ""American Indian"" and at other times includes Alaskan Natives and Pacific Islanders. In Canada, the term often equates to ""indigenous"" or ""aboriginal"" and so includes the First Nations, Metis and Inuit of Canada.The term Native American in its widest sense refers to all of the indigenous people of the Americas. More narrowly, this term is used in the USA to name indigenous people living within the boundaries of the nation. ""Native American"" in the USA often equates to the older term ""American Indian"" and at other times includes Alaskan Natives and Pacific Islanders. In Canada, the term often equates to ""indigenous"" or ""aboriginal"" and so includes the First Nations, Metis and Inuit of Canada....more"
265,Native Americans,"In the United States, Native Americans also known as American Indians or just simply Indians are considered to be people whose pre-Columbian ancestors were indigenous to the lands within the nation's modern boundaries. These peoples were composed of numerous distinct tribes, bands, and ethnic groups, and many of these groups survive intact today as partially sovereign nations.The terms Native Americans use to refer to themselves vary regionally and generationally, with many older Native Americans self-identifying as ""Indians"" or ""American Indians"", while younger Native Americans often identifyIn the United States, Native Americans also known as American Indians or just simply Indians are considered to be people whose pre-Columbian ancestors were indigenous to the lands within the nation's modern boundaries. These peoples were composed of numerous distinct tribes, bands, and ethnic groups, and many of these groups survive intact today as partially sovereign nations.The terms Native Americans use to refer to themselves vary regionally and generationally, with many older Native Americans self-identifying as ""Indians"" or ""American Indians"", while younger Native Americans often identify as ""Indigenous"" or ""Aboriginal"". Which terms should be used to refer to Native Americans has at times been controversial. The term ""Native American"" has been adopted by major newspapers and some academic groups, but has not traditionally included Native Hawaiians or certain Alaskan Natives, such as Aleut, Yup'ik, or Inuit peoples. By comparison, indigenous peoples from Canada are known as First Nations....more"
266,Natural History,"Natural history is the research and study of organisms including plants or animals in their environment, leaning more towards observational than experimental methods of study. "
267,Nature,"Nature, in the broadest sense, is equivalent to the natural world, physical world, or material world. ""Nature"" refers to the phenomena of the physical world, and also to life in general. It ranges in scale from the subatomic to the cosmic.The word nature is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"". Natura was a Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord. The conNature, in the broadest sense, is equivalent to the natural world, physical world, or material world. ""Nature"" refers to the phenomena of the physical world, and also to life in general. It ranges in scale from the subatomic to the cosmic.The word nature is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"". Natura was a Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord. The concept of nature as a whole, the physical universe, is one of several expansions of the original notion; it began with certain core applications of the word φύσις by pre-Socratic philosophers, and has steadily gained currency ever since. This usage was confirmed during the advent of modern scientific method in the last several centuries.Within the various uses of the word today, ""nature"" often refers to geology and wildlife. Nature may refer to the general realm of various types of living plants and animals, and in some cases to the processes associated with inanimate objects – the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth, and the matter and energy of which all these things are composed. It is often taken to mean the ""natural environment"" or wilderness–wild animals, rocks, forest, beaches, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention. For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"". This more traditional concept of natural things which can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind. Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural, the supernatural, or synthetic.Nature writing is generally defined as nonfiction prose writing about the natural environment. Nature writing often draws heavily on scientific information and facts about the natural world; at the same time, it is frequently written in the first person and incorporates personal observations of and philosophical reflections upon nature....more"
268,Neuroscience,Neuroscience is the scientific study of the nervous system.See also Science.Neuroscience is the scientific study of the nervous system.See also Science....more
269,New York,NULL
270,Noir,"Noir fiction is a name given to a mode of crime fiction which can be regarded as a subset of the hardboiled style.In this sub-genre, the protagonist is usually not a detective, but instead either a victim, a suspect, or a perpetrator. He is someone tied directly to the crime, not an outsider called to solve or fix the situation. See also pulp noir.Noir fiction is a name given to a mode of crime fiction which can be regarded as a subset of the hardboiled style.In this sub-genre, the protagonist is usually not a detective, but instead either a victim, a suspect, or a perpetrator. He is someone tied directly to the crime, not an outsider called to solve or fix the situation. See also pulp noir....more"
271,Nonfiction,"Nonfiction is an account or representation of a subject which is presented as fact. This presentation may be accurate or not; that is, it can give either a true or a false account of the subject in question. However, it is generally assumed that the authors of such accounts believe them to be truthful at the time of their composition. Note that reporting the beliefs of others in a nonfiction format is not necessarily an endorsement of the ultimate veracity of those beliefs, it is simply saying that it is true that people believe that (for such topics as mythology, religion). Nonfiction can alsNonfiction is an account or representation of a subject which is presented as fact. This presentation may be accurate or not; that is, it can give either a true or a false account of the subject in question. However, it is generally assumed that the authors of such accounts believe them to be truthful at the time of their composition. Note that reporting the beliefs of others in a nonfiction format is not necessarily an endorsement of the ultimate veracity of those beliefs, it is simply saying that it is true that people believe that (for such topics as mythology, religion). Nonfiction can also be written about fiction, giving information about these other works.Nonfiction is one of the two main divisions in writing, particularly used in libraries, the other being fiction. However, nonfiction need not be written text necessarily, since pictures and film can also purport to present a factual account of a subject....more"
272,Novels,"A novel is a long prose narrative that usually describes fictional characters and events in the form of a sequential story. It rests on the consensus that the novel is today the longest genre of narrative prose, followed by the novella, novelette and the short story. However, there is no consensus as to the minimal required lenght. In part because of this wide variation, the boundary between a novella and a novel may be arbitrary and difficult to determine.The Science Fiction and Fantasy Writers of America specifies a word length of over 40,000 words for a novel, while National Novel Writing MA novel is a long prose narrative that usually describes fictional characters and events in the form of a sequential story. It rests on the consensus that the novel is today the longest genre of narrative prose, followed by the novella, novelette and the short story. However, there is no consensus as to the minimal required lenght. In part because of this wide variation, the boundary between a novella and a novel may be arbitrary and difficult to determine.The Science Fiction and Fantasy Writers of America specifies a word length of over 40,000 words for a novel, while National Novel Writing Month requires its novels to be at least 50,000 words....more"
273,Nutrition,See also food and drink.See also food and drink....more
274,Occult,"Literally meaning ""hidden,"" the occult is generally taken to encompass mysticism, magic (or magick), supernatural occurrences (such as ghosts), and other esoteric spiritual topics.See also paranormal (fiction).Literally meaning ""hidden,"" the occult is generally taken to encompass mysticism, magic (or magick), supernatural occurrences (such as ghosts), and other esoteric spiritual topics.See also paranormal (fiction)....more"
275,Outdoors,NULL
276,Paranormal,"The paranormal genre of literary fiction includes beings and phenomena that are outside the realm of normal scientific understanding of the natural world. Though the paranormal genre may include supernaturalist elements, this fiction genre generally includes creatures that have been popularized by folklore, fairy tales, and popular culture, such as fairies, aliens, shapeshifters, and the undead.Subgenres that generally fall into the paranormal fiction category include paranormal romance , urban fantasy, fantasy romance novels, and paranormal fantasy. The paranormal genre of literary fiction includes beings and phenomena that are outside the realm of normal scientific understanding of the natural world. Though the paranormal genre may include supernaturalist elements, this fiction genre generally includes creatures that have been popularized by folklore, fairy tales, and popular culture, such as fairies, aliens, shapeshifters, and the undead.Subgenres that generally fall into the paranormal fiction category include paranormal romance , urban fantasy, fantasy romance novels, and paranormal fantasy. ...more"
277,Paranormal Romance,"Paranormal romance is a sub-genre of the romance novel related to paranormal fiction. Paranormal romance focuses on romance and includes elements beyond the range of scientific explanation, blending together themes from the genres of urban fantasy, traditional fantasy, science fiction, or horror.Paranormal romance may range from traditional category romances with a paranormal setting to stories where the main emphasis is on a science fiction or fantasy based plot with a romantic subplot included. Paranormal romance stories tend to feature a lot of romance, suspense and action, as well as sometParanormal romance is a sub-genre of the romance novel related to paranormal fiction. Paranormal romance focuses on romance and includes elements beyond the range of scientific explanation, blending together themes from the genres of urban fantasy, traditional fantasy, science fiction, or horror.Paranormal romance may range from traditional category romances with a paranormal setting to stories where the main emphasis is on a science fiction or fantasy based plot with a romantic subplot included. Paranormal romance stories tend to feature a lot of romance, suspense and action, as well as sometimes include mystery, humor and/or horror in the plotline. Common hallmarks are romantic relationships between humans, vampires, werewolves, shapeshifters, fairies, demons, witches, sorcerers, ghosts, and other entities of a supernatural or otherworldly nature. Beyond the more prevalent themes involving vampires, shapeshifters, or time travel, paranormal romances can also include books featuring characters with psychic abilities, like telekinesis or telepathy.“Paranormal Romance: Romance novels in which the future, a fantasy world, or paranormal happenings are an integral part of the plot.”See also:* erotic paranormal romance* paranormal...more"
278,Parenting,Books written for parents and caregivers about the nurture of children. 
279,Peak Oil,"Peak oil, an event based on M. King Hubbert's theory, is the point in time when the maximum rate of extraction of petroleum is reached, after which it is expected to enter terminal decline. It is often confused with oil depletion; however, peak oil is the point of maximum production, while depletion refers to a period of falling reserves and supply.Peak oil, an event based on M. King Hubbert's theory, is the point in time when the maximum rate of extraction of petroleum is reached, after which it is expected to enter terminal decline. It is often confused with oil depletion; however, peak oil is the point of maximum production, while depletion refers to a period of falling reserves and supply....more"
